 10.224.12.6  mtr-f-1-sw-lab-r1-1-pdu01 swx
 10.208.0.42  mtr-f-1-sw-r1-2-pdu010 swx
 10.208.0.226  mtr-f-1-sw-lab-r2-1-pdu01 swx
 10.208.0.218  MTR-F-1-SW-LAB-R2-2-PDU01 swx
 10.208.0.39  mtr-f-1-sw-lab-r2-6-pdu01 swx
 10.208.0.254  PDU-MTR-F-1-SW-LAB-R3-1 swx
 10.208.0.52  MTR-F-1-SW-LAB-R3-2-PDU01 swx
 10.208.0.53  mtr-f-1-sw-lab-r3-3-pdu01 swx
 10.208.0.29  MTR-F-1-SW-LAB-R3-3-PDU02 swx
 10.208.2.32  pdu-mtr-sw-lab-r3-6-pdu02 swx
 10.208.0.2  mtr-f-1-sw-lab-r4-1-pdu01 swx
 10.208.0.223  MTR-F-1-SW-LAB-R4-3-PDU02 swx
 10.208.0.3  MTR-F-1-SW-LAB-R4-3-PDU01 swx
 10.208.0.204  MTR-F-1-SW-LAB-R4-4-PDU01 swx
 10.208.0.213  mtr-f-1-sw-lab-r4-4-pdu02 swx
 10.208.2.3  mtr-f-1-sw-lab-r5-2-pdu01 swx
 10.208.0.235  mtr-f-1-sw-lab-r5-3-pdu01 swx
 10.208.0.77  MTR-F-1-SW-LAB-R8-4-PDU03 swx
 10.208.0.196  MTR-F-1-SW-LAB-R5-4-PDU01 swx
 10.208.0.242  mtr-f-1-sws-lab-r5-4-pdu02 swx
 10.208.0.167  MTR-F-1-SW-LAB-R6-1-PDU01 swx
 10.208.0.168  MTR-F-1-SW-LAB-R6-1-PDU02 swx
 10.208.0.174  MTR-F-1-SW-LAB-R6-2-PDU01 swx
 10.208.0.175  MTR-F-1-SW-LAB-R6-2-PDU02 swx
 10.208.0.229  MTR-F-1-SW-LAB-R6-3-PDU01 swx
 10.208.0.211  MTR-F-1-SW-LAB-R6-3-PDU02 swx
 10.208.0.200  mtr-f-1-SW-lab-rack-6-4-pdu02 swx
 10.208.0.197  mtr-f-1-SW-lab-rack-6-4-pdu01 swx
 10.208.0.150  mtr-f-1-sw-lab-r6-4-pdu03 swx
 10.208.0.166  MTR-F-1-SW-LAB-R6-5-PDU02 swx
 10.208.0.58  MTR-F-1-SW-LAB-R6-5-PDU01 swx
 10.224.12.2  mtr-f-1-sw-lab-r6-6-pdu01 swx
 10.224.12.3  mtr-f-1-sw-lab-r6-6-pdu02 swx
 10.208.0.11  MTR-F-1-SW-LAB-R6-7-pdu01 swx
 10.208.0.176  MTR-F-1-SW-LAB-R6-7-PDU02 swx
 10.208.0.37  MTR-F-1-SW-LAB-R6-8-PDU01 swx
 10.208.0.232  MTR-F-1-qa-LAB-R9-3-PDU01 swx
 10.208.0.83  MTR-F-1-SW-LAB-R7-1-PDU01 swx
 10.208.0.97  MTR-F-1-SW-LAB-R7-1-PDU02 swx
 10.208.0.82  MTR-F-1-SW-LAB-R7-2-PDU01 swx
 10.208.0.96  MTR-F-1-SW-LAB-R7-2-PDU02 swx
 10.208.0.98  MTR-F-1-SW-LAB-R7-3-PDU01 swx
 10.208.0.111  MTR-F-1-SW-LAB-R7-3-PDU02 swx
 10.208.0.66  mtr-f-1-sw-lab-r7-4-pdu01 swx
 10.208.0.67  MTR-F-1-SW-LAB-R7-4-PDU02 swx
 10.208.0.94  mtr-F-1-SW-LAB-R7-4-PDU03 swx
 10.208.0.112  MTR-F-1-SW-LAB-R7-5-PDU01 swx
 10.208.2.10  mtr-f-1-sw-lab-r7-5-pdu02 swx
 10.208.0.55  mTR-F-1-SW-LAB-R7-6-PDU01 swx
 10.208.0.228  MTR-F-1-SW-LAB-R7-6-PDU02 swx
 10.208.0.10  mTR-F-1-SW-LAB-R7-6-PDU03 swx
 10.208.0.56  MTR-F-1-SW-LAB-R7-7-PDU01 swx
 10.208.0.46  MTR-F-1-SW-LAB-R7-7-PDU02 swx
 10.208.0.173  MTR-F-1-SW-LAB-R7-8-PDU01 swx
 10.208.2.20  mtr-f-1-sw-lab-r7-8-pdu02 swx
 10.208.2.53  MTR-F-1-SW-LAB-R7-9-PDU01 swx
 10.208.2.54  MTR-F-1-SW-LAB-R7-9-PDU02 swx
 10.208.2.55  MTR-F-1-SW-LAB-R7-10-PDU02 swx
 10.208.2.56  MTR-F-1-SW-LAB-R7-10-PDU01 swx
 10.208.0.9  MTR-F-1-SW-LAB-R8-1-PDU02 swx
 10.208.2.7  mtr-f-1-sw-lab-r8-1-pdu01 swx
 10.208.2.4  pdu-mtr-SW-lab-r8-2-pdu02 swx
 10.208.2.26  pdu-mtr-sw-lab-r8-2-pdu01 swx
 10.208.0.201  MTR-F-1-SW-LAB-R8-3-PDU01 swx
 10.208.0.8  MTR-F-1-SW-LAB-R8-3-PDU02 swx
 10.208.0.75  MTR-F-1-SW-LAB-R8-4-PDU01 swx
 10.208.0.76  MTR-F-1-SW-LAB-R8-4-PDU02 swx
 10.208.0.7  MTR-F-1-SW-LAB-R8-5-PDU02 swx
 10.208.0.4  MTR-F-1-SW-LAB-R8-5-PDU01 swx
 10.208.0.73  MTR-F-1-SW-LAB-R8-6-PDU01 swx
 10.208.0.74  MTR-F-1-SW-LAB-R8-6-PDU02 swx
 10.208.0.225  mtr-f-1-SW-lab-r8-7-pdu01 swx
 10.208.0.216  mtr-f-1-sw-lab-r8-8-pdu01 swx
 10.208.2.8  mtr-f-1-sw-lab-r8-8-pdu02 swx
 10.208.2.9  mtr-f-1-sw-lab-r8-9-pdu01 swx
 10.208.2.27  mtr-f-1-sw-lab-r8-9-pdu02 swx
 10.208.0.5  MTR-F-1-SW-LAB-R8-10-PDU01 swx
 10.208.0.6  MTR-F-1-SW-LAB-R8-10-PDU02 swx
